chr	start.x	end.x	X	start.y	end.y
chr9	33160931	33161430	41288	33152618	33163551
chr15	80984759	80985258	14903	80984050	80986126
chr17	60398134	60398633	18392	60395231	60399445
chr22	29310908	29311407	27408	29310444	29311982
chr5	139488223	139488722	33818	139485885	139490085
chr16	10871014	10871927	15483	10865845	10872438
chr8	142739299	142739798	40958	142738356	142740179
chr6	31737371	31738320	35378	31737102	31739508
chr2	55019463	55019962	22706	55014425	55022838
chr9	36142830	36143329	41367	36141995	36143892
chr11	127252248	127252747	8883	127251124	127256206
chr17	78174186	78174685	18928	78171031	78176422
chr16	88978923	88979422	16793	88977249	88979887
chr11	2265377	2265876	6878	2264384	2268559
chr21	45292366	45292865	27151	45291976	45293223
chrX	101664350	101664849	43632	101663649	101664994
chr7	128934752	128935251	38853	128932060	128934959
chr22	30270897	30271396	27459	30268313	30280386
chr17	34571782	34572281	17753	34571145	34572720
chr16	51554697	51555196	16070	51551492	51559208
chr2	218370292	218370791	24817	218369176	218373362
chr9	136644851	136645350	42727	136643654	136647700
chr1	202968903	202969402	3437	202968330	202970768
chr22	37633577	37634076	27656	37631477	37638768
chr1	161013684	161014183	2842	161011407	161014898
chr11	696970	697469	6825	697250	697509
chr3	20043309	20043808	28354	20043085	20044739
chrX	131822218	131822717	43843	131821615	131823249
chr3	195900583	195901082	30600	195899729	195902572
chrX	71181882	71182381	43523	71181358	71183359
chr6	24744844	24745343	35133	24740620	24750727
chr1	24190087	24190586	604	24188753	24192354
chr11	61963046	61963545	7622	61960415	61964718
chr22	23844337	23844836	27312	23840887	23849964
chr2	85666377	85666876	23243	85665227	85667313
chr1	32337297	32338261	944	32337057	32338361
chr4	119139739	119140238	31882	119135242	119143324
chr7	135970954	135971453	38957	135970648	135972079
chr10	48517823	48518322	5342	48517257	48520647
chr1	152160517	152161016	2541	152159938	152161578
chr7	128933112	128934012	38853	128932060	128934959
chr1	20152239	20152738	493	20151847	20155397
chr9	15296017	15296516	41156	15295761	15296897
chr12	29158387	29158886	9652	29150986	29167567
chrX	24479804	24480303	43134	24478161	24481937
chr3	122679032	122679531	29496	122678059	122679152
chr14	94392480	94392979	13608	94391169	94396643
chr20	9988948	9989447	25438	9987777	9991012
chr3	136758112	136758611	29769	136757889	136758720
chr13	29943961	29944460	11522	29942985	29950202
chr6	29649881	29650380	35264	29649170	29650152
chr6	31821970	31822469	35387	31821053	31825637
chr22	46035699	46036198	27963	46035103	46037363
chr11	73779312	73779811	8148	73779012	73780231
chr10	133278432	133278931	6790	133275175	133280905
chr9	92537496	92537995	41763	92537034	92538868
chr2	142865866	142866365	24032	142865366	142867003
chr3	141311594	141312093	29799	141311317	141312438
chr1	192512395	192512894	3331	192511529	192514498
chr21	33215994	33216493	26739	33214871	33217498
chr1	24559286	24559785	624	24556812	24560985
chr11	17209145	17209644	7168	17209548	17210430
chr1	226677103	226677602	3958	226672174	226682086
chr10	35212779	35213278	5246	35208442	35214799
chr2	151297886	151298385	24115	151297306	151298810
chr17	42456766	42457265	17963	42455171	42458328
chr5	76856720	76857219	33142	76850593	76858253
chr17	41645339	41646261	17912	41644851	41646517
chr8	120065799	120066298	40540	120064467	120068760
chr14	21072051	21072550	12461	21072410	21073882
chr20	1945213	1945712	25276	1943199	1946788
chr7	135150304	135150803	38945	135149679	135152522
chr9	130128625	130129124	42532	130126684	130132546
chr16	2023048	2023547	15352	2023329	2023905
chr8	1746054	1746553	39303	1743130	1748187
chr21	29002574	29003073	26647	29002168	29003596
chr1	121050051	121050550	2294	120341858	149175684
chr1	121050051	121050550	2362	120913308	148460242
chr1	121050051	121050550	2397	121020772	149713009
chr1	121050051	121050550	2400	121041598	149733657
chr5	177300152	177300651	34452	177299255	177301663
chr14	49868039	49868538	12678	49867367	49869195
chrX	129786233	129786732	43819	129783889	129788933
chr19	50427888	50428387	21725	50427225	50429780
chr1	153386498	153386997	2548	153385238	153387755
chr7	140675217	140675716	39030	140675298	140677400
chr1	143875896	143876395	2217	143831611	143938961
chr1	143875896	143876395	2294	120341858	149175684
chr1	143875896	143876395	2362	120913308	148460242
chr1	143875896	143876395	2397	121020772	149713009
chr1	143875896	143876395	2400	121041598	149733657
chrX	132480448	132480947	43849	132479743	132481848
chr12	49060575	49061074	9853	49056213	49061460
chr8	145001339	145001838	41030	144999972	145001820
chr2	95539724	95540223	23321	95539112	95540655
chr7	167137	167636	37212	163080	168119
chr7	143375252	143375751	39083	143374270	143376512
chr18	50820781	50821280	19700	50820604	50823565
chr10	1043368	1043867	4448	1042158	1046516
chr13	42274978	42275477	11638	42274444	42275716
chr21	25647583	25648082	26629	25645427	25649740
chr2	32262023	32262522	22318	32261354	32263552
chr14	94394522	94395021	13608	94391169	94396643
chr15	83063509	83064008	14942	83061290	83063626
chr7	140676292	140676791	39030	140675298	140677400
chr8	17915986	17916485	39467	17914931	17918557
chr9	136539647	136540146	42719	136537089	136542426
chr16	28542920	28543419	15799	28542573	28543526
chr3	138125477	138125976	29780	138123785	138126539
chr16	30903120	30904008	15920	30901229	30905232
chr9	121503309	121503808	42227	121501516	121504814
chr15	74428350	74428849	14734	74427624	74430899
chrX	37787419	37787918	43165	37784995	37789590
chr1	48227520	48228019	1370	48227470	48228533
chr18	21602176	21602675	19466	21601506	21602892
chr16	23520402	23520901	15703	23517523	23525841
chr19	51651466	51651965	21765	51650502	51653583
chrX	71196385	71196884	43524	71195732	71199046
chr11	3037189	3038185	6910	3035531	3038582
chr19	35272284	35272783	21127	35270566	35274959
chr15	64150117	64150616	14446	64148150	64151217
chr17	14309249	14309748	17351	14309659	14309919
chr11	10502717	10503678	7079	10501496	10505599
chr5	95823883	95824382	33399	95824038	95825152
chr14	105317117	105318032	13795	105317336	105318601
chr2	96343989	96344488	23347	96343102	96345823
chrX	41719561	41720558	43287	41718913	41722035
chr10	35211408	35211907	5246	35208442	35214799
chr12	29159483	29159982	9652	29150986	29167567
chr7	135205632	135206131	38949	135203816	135209133
chr2	24364903	24365402	22137	24364455	24365671
chr15	40047633	40048132	13936	40044512	40050621
chr11	4455454	4455953	6937	4454540	4461205
chr1	52637334	52637833	1427	52636417	52638423
chr1	15835731	15836230	356	15832976	15838307
chr1	169116249	169116748	3038	169115309	169117534
chr1	34866285	34866784	1009	34865544	34868492
chr17	6752421	6753404	17163	6751890	6753898
chr1	156505183	156505682	2725	156501997	156509898
chr2	172431499	172431998	24323	172430790	172432983
chr1	162028700	162029199	2934	162028359	162029553
chr8	19767425	19767924	39506	19761636	19772243
chr1	89815599	89816098	1753	89815024	89816417
chr1	84693018	84693517	1679	84692718	84693882
chr13	112688447	112688946	12314	112688078	112688651
chr1	179296950	179297449	3162	179295523	179299317
chr1	201019382	201019881	3413	201017441	201020351
chr11	60910159	60910658	7573	60908610	60912380
chr7	111954388	111954887	38662	111948172	111963245
chr11	47393342	47393841	7409	47386503	47397676
chr18	8603851	8604350	19276	8600536	8606426
chr3	133506289	133506788	29744	133504565	133508231
chr10	13634092	13634591	4771	13629944	13637391
chr22	20867315	20867814	27276	20866800	20868599
chr2	27081139	27081638	22239	27079938	27081201
chr2	27081139	27081638	22240	27081447	27083124
chr7	106871019	106871518	38620	106868723	106873144
chr8	42140597	42141911	39938	42139512	42143054
chr22	30262798	30263754	27458	30262392	30265617
chr9	133341715	133342214	42635	133338601	133343215
chr11	61164174	61164673	7588	61162680	61165817
chr7	81846401	81846900	38380	81844660	81849368
chrX	46649377	46649876	43319	46648958	46650826
chr5	54646597	54647096	32821	54643585	54650098
chr9	86359433	86359932	41625	86358186	86360478
chr17	59372296	59372795	18332	59368597	59376387
chr11	33893693	33894192	7247	33892138	33893856
chr7	2237223	2237722	37273	2236327	2238853
chr5	95858651	95859150	33407	95856485	95874693
chr19	9709219	9709718	20482	9704912	9711552
chr13	33353223	33353722	11582	33349344	33354695
chr17	17036452	17036951	17390	17035911	17037465
chr9	123997788	123998287	42277	123997516	123997908
chr19	44741847	44742346	21416	44740696	44744189
chr10	92590661	92591160	6125	92590467	92590906
chr6	6592001	6592500	34728	6590699	6601203
chr8	41653602	41654101	39909	41653137	41656286
chr8	143023853	143024352	40962	143023694	143027234
chr17	57285171	57285670	18265	57284108	57286653
chr15	58146677	58147176	14299	58145614	58148078
chr15	72786832	72787331	14705	72784770	72787818
chr1	234599959	234600458	4155	234598637	234602386
chr2	37318325	37318824	22358	37317091	37320391
chr18	32085091	32085590	19531	32083289	32087039
chr16	75570664	75571163	16484	75567779	75573218
chr3	149225096	149225595	29899	149223808	149225972
chr1	198633507	198634006	3366	198633314	198634658
chr8	16997173	16997672	39451	16995903	16999463
chr7	76379785	76380284	38306	76378878	76380971
chr13	99375221	99375720	12163	99370108	99381969
chr5	17118584	17119083	32543	17117677	17120791
chr1	111505697	111506196	1993	111505901	111520327
chr1	183470019	183470518	3233	183469917	183470114
chr17	43773160	43773659	18011	43771675	43774579
chr5	180200975	180201474	34539	180193281	180205357
chr8	8383970	8384469	39355	8383669	8384490
chr6	35725671	35726170	35581	35723305	35727341
chr1	8427439	8427938	128	8426486	8430011
chr15	51629541	51630040	14198	51629037	51629747
chr12	120110647	120111146	11067	120109494	120113118
chr18	21117742	21118241	19463	21117227	21118485
chr11	47987571	47988070	7438	47983688	47994118
chr17	56985320	56985819	18262	56984958	56986257
chr1	177353301	177353800	3128	177353134	177353409
chr17	83054041	83054540	19150	83052480	83055023
chr17	69428206	69428705	18631	69427633	69429254
chr21	14761274	14761773	26567	14755798	14764827
chr12	111773843	111774342	10934	111771919	111779554
chr15	70768121	70768620	14679	70767655	70768741
chr16	73124643	73125142	16443	73121955	73127610
chr1	234978281	234978780	4192	234974395	234986154
chr11	74018425	74018924	8156	74014386	74026865
chr19	51799289	51799788	21789	51796874	51801932
chr17	5232798	5233297	17147	5225339	5233290
chr7	17947558	17948057	37572	17945335	17949414
chr19	2695190	2695689	20180	2690196	2700376
chr7	22723229	22723728	37636	22720133	22725431
chr5	172772267	172772766	34366	172772618	172778529
chr19	39402400	39402899	21212	39397094	39406013
chr10	87203429	87203928	5972	87203409	87204645
chr2	127407941	127408440	23837	127404204	127409473
chr1	108646566	108647065	1872	108644537	108649026
chr10	123997816	123998315	6643	123997707	123998964
chr7	5554967	5555466	37429	5554528	5559060
chr10	93572973	93573472	6165	93568986	93575794
chr2	130797871	130798370	23913	130797318	130798753
chr20	25360910	25361409	25751	25359610	25362877
chr17	47240012	47240511	18116	47237730	47241954
chr2	10035974	10036473	22036	10035576	10037233
chr1	155007408	155008368	2649	155005835	155012449
chrX	101415436	101415935	43626	101414895	101416002
