	chr	start	end
72	chr1	2192020	2192860
73	chr1	2193722	2193978
74	chr1	2195585	2195829
75	chr1	2198707	2199961
76	chr1	2204001	2204295
77	chr1	2205919	2205971
78	chr1	2212105	2215491
79	chr1	2235255	2236304
80	chr1	2237000	2237433
81	chr1	2237734	2241016
82	chr1	2242380	2242490
83	chr1	2247378	2251726
84	chr1	2252298	2252523
85	chr1	2255491	2258071
86	chr1	2258286	2261150
87	chr1	2266441	2266605
88	chr1	2266991	2268871
89	chr1	2269372	2269795
90	chr1	2270091	2273388
91	chr1	2273970	2274994
92	chr1	2275766	2276154
93	chr1	2276933	2277114
94	chr1	2278989	2280446
95	chr1	2289594	2293062
96	chr1	2293263	2293519
97	chr1	2294168	2294687
98	chr1	2298875	2300598
99	chr1	2303259	2303421
100	chr1	2310010	2316887
101	chr1	2320802	2324159
102	chr1	2343168	2344062
103	chr1	2381669	2382345
104	chr1	2414192	2414444
105	chr1	2414697	2414949
106	chr1	2426120	2426675
107	chr1	2429730	2429874
108	chr1	2431408	2433460
109	chr1	2438335	2438475
110	chr1	2444074	2444211
111	chr1	2445256	2447277
112	chr1	2450197	2450302
113	chr1	2452159	2453695
114	chr1	2459674	2461553
115	chr1	2493431	2493579
116	chr1	2493856	2494092
117	chr1	2527121	2527433
118	chr1	2530908	2534103
119	chr1	2540245	2541355
120	chr1	2542236	2549884
121	chr1	2610666	2611391
122	chr1	2642059	2643872
123	chr1	2788378	2790259
124	chr1	2915041	2915251
125	chr1	2968391	2969645
126	chr1	2982249	2984453
127	chr1	3011267	3013659
128	chr1	3060385	3060568
129	chr1	3060777	3065420
130	chr1	3072072	3088450
131	chr1	3088804	3114359
132	chr1	3114594	3118039
133	chr1	3118331	3143392
134	chr1	3143703	3144294
135	chr1	3145140	3146264
136	chr1	3147197	3148204
137	chr1	3148458	3162956
138	chr1	3163245	3167632
139	chr1	3168105	3176736
140	chr1	3177225	3180923
141	chr1	3181571	3192889
142	chr1	3193216	3195065
143	chr1	3195561	3200269
144	chr1	3200797	3201232
145	chr1	3203627	3203777
146	chr1	3204041	3225056
147	chr1	3226123	3230697
148	chr1	3231967	3232191
149	chr1	3233266	3233630
150	chr1	3234265	3240309
151	chr1	3240872	3241608
152	chr1	3242090	3242280
153	chr1	3242886	3243319
154	chr1	3246030	3246188
155	chr1	3246973	3247154
156	chr1	3247914	3250470
157	chr1	3250773	3250892
158	chr1	3251352	3251566
159	chr1	3255559	3255722
160	chr1	3257260	3257433
161	chr1	3257810	3259911
162	chr1	3260158	3260299
163	chr1	3261989	3262115
164	chr1	3263110	3264295
165	chr1	3264817	3264973
166	chr1	3267825	3267968
167	chr1	3268433	3268745
168	chr1	3270593	3273426
169	chr1	3274146	3281371
170	chr1	3281879	3286694
171	chr1	3287993	3290975
172	chr1	3291353	3291469
173	chr1	3292610	3293563
174	chr1	3294331	3294744
175	chr1	3295674	3296939
176	chr1	3297613	3297953
177	chr1	3301555	3302128
178	chr1	3303380	3305956
179	chr1	3306941	3318313
180	chr1	3318652	3321206
181	chr1	3322099	3325861
182	chr1	3326377	3336448
183	chr1	3337167	3342618
184	chr1	3344470	3358863
185	chr1	3359535	3360375
186	chr1	3361376	3361769
187	chr1	3362247	3363253
188	chr1	3363638	3363966
189	chr1	3364315	3370923
190	chr1	3372903	3374323
191	chr1	3375212	3375750
192	chr1	3385857	3386886
193	chr1	3391971	3392094
194	chr1	3393097	3395534
195	chr1	3397192	3397729
196	chr1	3399006	3400311
197	chr1	3402061	3402806
198	chr1	3403529	3403699
199	chr1	3407456	3407630
200	chr1	3408963	3410697
201	chr1	3414774	3415519
202	chr1	3419290	3419824
203	chr1	3420238	3420394
204	chr1	3420605	3421378
205	chr1	3421699	3425086
206	chr1	3426330	3426461
207	chr1	3427359	3430768
208	chr1	3431116	3431751
209	chr1	3432270	3433211
210	chr1	3438719	3439016
211	chr1	3439229	3445741
212	chr1	3452601	3453274
213	chr1	3471870	3472174
214	chr1	3473368	3473582
215	chr1	3503770	3505193
216	chr1	3529320	3529433
217	chr1	3539623	3540915
218	chr1	3556975	3557126
219	chr1	3560258	3561869
220	chr1	3562089	3562721
221	chr1	3563281	3565058
222	chr1	3573283	3574087
223	chr1	3575699	3576412
224	chr1	3577640	3578093
225	chr1	3598042	3598241
226	chr1	3712832	3715784
227	chr1	3716250	3717089
228	chr1	3717544	3717817
229	chr1	3771791	3771814
230	chr1	3901775	3901784
231	chr1	4083234	4083397
232	chr1	4109072	4109462
233	chr1	4394073	4400538
234	chr1	4402936	4403349
235	chr1	4430694	4431423
236	chr1	4447336	4448509
237	chr1	4512468	4513255
238	chr1	4830287	4831612
239	chr1	4935633	4935787
240	chr1	5035934	5036790
241	chr1	5231678	5231924
242	chr1	5492844	5492980
243	chr1	5493803	5494577
244	chr1	5652274	5652578
245	chr1	5744803	5745895
246	chr1	5765921	5766163
247	chr1	5767974	5771992
248	chr1	5773070	5774795
249	chr1	5776104	5776236
250	chr1	5815131	5815347
251	chr1	5827836	5828101
252	chr1	5830598	5830833
253	chr1	5887414	5887603
254	chr1	5887861	5888548
255	chr1	5888796	5889063
256	chr1	5889751	5889955
257	chr1	5895419	5898354
258	chr1	5905990	5906873
259	chr1	5915049	5916027
260	chr1	6287190	6287598
261	chr1	6287815	6288347
262	chr1	6350237	6350444
263	chr1	6384849	6386338
264	chr1	6436578	6438172
265	chr1	6460718	6460852
266	chr1	6555000	6555839
267	chr1	6577468	6579303
268	chr1	6581117	6581608
269	chr1	6585760	6585902
270	chr1	6586251	6588367
271	chr1	6588951	6589800
272	chr1	6590094	6593872
273	chr1	6594234	6594386
274	chr1	6596518	6599512
275	chr1	6604479	6606454
276	chr1	6607322	6607533
277	chr1	6608149	6608299
278	chr1	6609210	6610258
279	chr1	6611539	6611667
280	chr1	6615945	6616017
281	chr1	6616338	6616490
282	chr1	6616887	6617028
283	chr1	6624219	6624621
284	chr1	6626425	6626444
285	chr1	6637289	6639250
286	chr1	6653152	6654190
287	chr1	6734529	6735114
288	chr1	6735466	6736017
289	chr1	6743902	6744183
290	chr1	6786770	6787304
291	chr1	6788698	6789773
292	chr1	6790221	6790527
293	chr1	6794446	6795350
294	chr1	6795791	6797329
295	chr1	6800797	6801518
296	chr1	6801937	6802344
297	chr1	6810874	6812397
298	chr1	6812817	6813206
299	chr1	6820062	6820383
300	chr1	6820639	6821651
301	chr1	6822281	6829700
302	chr1	6830836	6833204
303	chr1	6833462	6834569
304	chr1	6837973	6838159
305	chr1	6841634	6844038
306	chr1	6867457	6871107
307	chr1	6871466	6871809
308	chr1	6872422	6874384
309	chr1	6881416	6881560
310	chr1	6885063	6885214
311	chr1	6886951	6890528
312	chr1	6910779	6919749
313	chr1	6922148	6926348
314	chr1	6958021	6959554
315	chr1	6959770	6960929
316	chr1	6961136	6961550
317	chr1	6963450	6963626
318	chr1	6965723	6965942
319	chr1	6984500	6985565
320	chr1	6985871	6986003
321	chr1	6988143	6988592
322	chr1	7041827	7043282
323	chr1	7050318	7050965
324	chr1	7051365	7051963
325	chr1	7068403	7068605
326	chr1	7069977	7070512
327	chr1	7110064	7110245
328	chr1	7110502	7110807
329	chr1	7117778	7118043
330	chr1	7121207	7121704
331	chr1	7121915	7122252
332	chr1	7149105	7149984
333	chr1	7151624	7151821
334	chr1	7291042	7291421
335	chr1	7291693	7292133
336	chr1	7373944	7374336
337	chr1	7388511	7389849
338	chr1	7491109	7491365
339	chr1	7623394	7623930
340	chr1	7624178	7624412
341	chr1	7667656	7671044
342	chr1	7679649	7681280
343	chr1	7695550	7696494
344	chr1	7702131	7702467
345	chr1	7702742	7703466
346	chr1	7703841	7705738
347	chr1	7752507	7752977
348	chr1	7782272	7782913
349	chr1	7785410	7785494
350	chr1	7786866	7787031
351	chr1	7843172	7843976
352	chr1	7886142	7886362
353	chr1	7902662	7902858
354	chr1	7953585	7954956
355	chr1	7970427	7970683
356	chr1	8014724	8020484
357	chr1	8021268	8021947
358	chr1	8022691	8024776
359	chr1	8027280	8028324
360	chr1	8121211	8121370
361	chr1	8169320	8169702
362	chr1	8170115	8170517
363	chr1	8216959	8217674
364	chr1	8266114	8267789
365	chr1	8272853	8273182
366	chr1	8273973	8274863
367	chr1	8301378	8303221
368	chr1	8312223	8312392
369	chr1	8312795	8312978
370	chr1	8317656	8317664
371	chr1	8342995	8343372
372	chr1	8352060	8352236
373	chr1	8352789	8354248
374	chr1	8355014	8355470
375	chr1	8355731	8355849
376	chr1	8357690	8357873
377	chr1	8358094	8358229
378	chr1	8362994	8364501
379	chr1	8365664	8375272
380	chr1	8376020	8376136
381	chr1	8377120	8377408
382	chr1	8378333	8383637
383	chr1	8383980	8385734
384	chr1	8386322	8386583
385	chr1	8386954	8387165
386	chr1	8395726	8398149
387	chr1	8398376	8398499
388	chr1	8399320	8399559
389	chr1	8404621	8404891
390	chr1	8405859	8413186
391	chr1	8413686	8413953
392	chr1	8414706	8416332
393	chr1	8416814	8420547
394	chr1	8424710	8425305
395	chr1	8427731	8428207
396	chr1	8429642	8429963
397	chr1	8435694	8435831
398	chr1	8438031	8440370
399	chr1	8441319	8441644
400	chr1	8448550	8449671
401	chr1	8454331	8457327
402	chr1	8457848	8458031
403	chr1	8459435	8466358
404	chr1	8467073	8467524
405	chr1	8477103	8477914
406	chr1	8478229	8478451
407	chr1	8509208	8511217
408	chr1	8511585	8511732
409	chr1	8517017	8518549
410	chr1	8523757	8523869
411	chr1	8524484	8526836
412	chr1	8556416	8557000
413	chr1	8558425	8558558
414	chr1	8571750	8571890
415	chr1	8670096	8670264
416	chr1	8686916	8687147
417	chr1	8701366	8701591
418	chr1	8701857	8703845
419	chr1	8726825	8728546
420	chr1	8847987	8848995
421	chr1	8849241	8849495
422	chr1	8857334	8857543
423	chr1	8859256	8866670
424	chr1	8867833	8868586
425	chr1	8868962	8876272
426	chr1	8879779	8881691
427	chr1	8883515	8883916
428	chr1	8884531	8892314
429	chr1	8903457	8904825
430	chr1	8905214	8905475
431	chr1	8908160	8908596
432	chr1	8911044	8912196
433	chr1	8914411	8916386
434	chr1	8917364	8918179
435	chr1	8942150	8942319
436	chr1	8943157	8943346
437	chr1	8943697	8944721
438	chr1	8954953	8955820
439	chr1	8985509	8988862
440	chr1	9061284	9063080
441	chr1	9064037	9066873
442	chr1	9067083	9067303
443	chr1	9068668	9070960
444	chr1	9150845	9150995
445	chr1	9151473	9152058
446	chr1	9163645	9163901
447	chr1	9201890	9202144
448	chr1	9232134	9232424
449	chr1	9232968	9234094
450	chr1	9241399	9243530
451	chr1	9247600	9251820
452	chr1	9252727	9253792
453	chr1	9290649	9290868
454	chr1	9292029	9292199
455	chr1	9318022	9318552
456	chr1	9324127	9325439
457	chr1	9388738	9389200
458	chr1	9400305	9400904
459	chr1	9401161	9401309
460	chr1	9437123	9438779
461	chr1	9440872	9442006
462	chr1	9495043	9495390
463	chr1	9502566	9503875
464	chr1	9519310	9519472
465	chr1	9519783	9519949
466	chr1	9528633	9530531
467	chr1	9531180	9534427
468	chr1	9537790	9538924
469	chr1	9541220	9546131
470	chr1	9546417	9549356
471	chr1	9549678	9552564
472	chr1	9553311	9553634
473	chr1	9554187	9554388
474	chr1	9554594	9564414
475	chr1	9564976	9565185
476	chr1	9565541	9565710
477	chr1	9566466	9566797
478	chr1	9567581	9569099
479	chr1	9569589	9571764
480	chr1	9572593	9574410
481	chr1	9574671	9574877
482	chr1	9583247	9583353
483	chr1	9590266	9590504
484	chr1	9593384	9593531
485	chr1	9606731	9607775
486	chr1	9755345	9755561
487	chr1	9758711	9758835
488	chr1	9824894	9824949
489	chr1	9835446	9836447
490	chr1	9840174	9840288
491	chr1	9842508	9847915
492	chr1	9851221	9853618
493	chr1	9858773	9860343
494	chr1	9863477	9864374
495	chr1	9869789	9869996
496	chr1	9870590	9870827
497	chr1	9874008	9875717
498	chr1	9877009	9877171
499	chr1	9883435	9884884
500	chr1	9890092	9893793
501	chr1	9899789	9903199
502	chr1	9903450	9904031
503	chr1	9904889	9905357
504	chr1	9907601	9907997
505	chr1	9908493	9908983
506	chr1	9911515	9911749
507	chr1	9912029	9912554
508	chr1	9942105	9942284
509	chr1	9950521	9950901
510	chr1	10045978	10047471
511	chr1	10066817	10066974
512	chr1	10067175	10067409
513	chr1	10074760	10075560
514	chr1	10179749	10180133
515	chr1	10196095	10197672
516	chr1	10209137	10209537
517	chr1	10212784	10219243
518	chr1	10220604	10221034
519	chr1	10221318	10221992
520	chr1	10222199	10222439
521	chr1	10223239	10223776
522	chr1	10224518	10224727
523	chr1	10225143	10226502
524	chr1	10231920	10232623
525	chr1	10232882	10233321
526	chr1	10236523	10236643
527	chr1	10241034	10241389
528	chr1	10241984	10242135
529	chr1	10242842	10243506
530	chr1	10249032	10249843
531	chr1	10250810	10250990
532	chr1	10251440	10251617
533	chr1	10253423	10254188
534	chr1	10256277	10256421
535	chr1	10257338	10259021
536	chr1	10263814	10264789
537	chr1	10265291	10268677
538	chr1	10271509	10271614
539	chr1	10279020	10279132
540	chr1	10280422	10305358
541	chr1	10305682	10306593
542	chr1	10306859	10310180
543	chr1	10310469	10310662
544	chr1	10312356	10312644
545	chr1	10314610	10314783
546	chr1	10317120	10317299
547	chr1	10317966	10318116
548	chr1	10318611	10318917
549	chr1	10323548	10324069
550	chr1	10337675	10338036
551	chr1	10338659	10340013
552	chr1	10353434	10353649
553	chr1	10377656	10377888
554	chr1	10385677	10386081
555	chr1	10386326	10386523
556	chr1	10386806	10388975
557	chr1	10390758	10390920
558	chr1	10489245	10491656
559	chr1	10492738	10492963
560	chr1	10615660	10615939
561	chr1	10663197	10664766
562	chr1	10693740	10695317
563	chr1	10709653	10709853
564	chr1	10728295	10729205
565	chr1	10733948	10734185
566	chr1	10734556	10735003
567	chr1	10735208	10736130
568	chr1	10866952	10867641
569	chr1	10944124	10944434
570	chr1	10944709	10944913
571	chr1	10975984	10976272
572	chr1	10979011	10981495
573	chr1	11068178	11069632
574	chr1	11097970	11098753
575	chr1	11100388	11100421
576	chr1	11107531	11108483
577	chr1	11108768	11110728
578	chr1	11134830	11134935
579	chr1	11244846	11248581
580	chr1	11272557	11272577
581	chr1	11281553	11282525
582	chr1	11283331	11283484
583	chr1	11284567	11284768
584	chr1	11285113	11287650
585	chr1	11288041	11288275
586	chr1	11288513	11288684
587	chr1	11316408	11316855
588	chr1	11337802	11337923
589	chr1	11340028	11340208
590	chr1	11354739	11358240
591	chr1	11388036	11388255
592	chr1	11438841	11439548
593	chr1	11440132	11442677
594	chr1	11443580	11445389
595	chr1	11445618	11445796
596	chr1	11458378	11459762
597	chr1	11474733	11475484
598	chr1	11476424	11478419
599	chr1	11481731	11481733
600	chr1	11498864	11501305
601	chr1	11645877	11651063
602	chr1	11652672	11653628
603	chr1	11663904	11663921
604	chr1	11701079	11701649
605	chr1	11719437	11721311
606	chr1	11731445	11733443
607	chr1	11735436	11735803
608	chr1	11737326	11737674
609	chr1	11804547	11804590
610	chr1	11907874	11910203
611	chr1	11913025	11913206
612	chr1	11918721	11921491
613	chr1	11923404	11924989
614	chr1	11929846	11929973
615	chr1	11979387	11979520
616	chr1	12018597	12018700
617	chr1	12034040	12035317
618	chr1	12052886	12053871
619	chr1	12112428	12113283
620	chr1	12184440	12184831
621	chr1	12231663	12231991
622	chr1	12336654	12337047
623	chr1	12339207	12339512
624	chr1	12395641	12396909
625	chr1	12405855	12408307
626	chr1	12408579	12408881
627	chr1	12409528	12410568
628	chr1	12425908	12426646
629	chr1	12433341	12433864
630	chr1	12434175	12434493
631	chr1	12447188	12450036
632	chr1	12450521	12452385
633	chr1	12453703	12453859
634	chr1	12454454	12455192
635	chr1	12460108	12462136
636	chr1	12476121	12476226
637	chr1	12504183	12506841
638	chr1	12511079	12511880
639	chr1	12518665	12519683
640	chr1	12540066	12540668
641	chr1	12553386	12553525
642	chr1	12556127	12557081
643	chr1	12564303	12566041
644	chr1	12566274	12566605
645	chr1	12572926	12573191
646	chr1	12590698	12591402
647	chr1	12592182	12603106
648	chr1	12609069	12609818
649	chr1	12613406	12614102
650	chr1	12620285	12620613
651	chr1	12621436	12622878
652	chr1	12677912	12678163
653	chr1	13543385	13543921
654	chr1	13544355	13544504
655	chr1	13586670	13586674
656	chr1	13754477	13755463
657	chr1	13792054	13792187
658	chr1	14017235	14017541
659	chr1	14018120	14018345
660	chr1	14141274	14141584
661	chr1	14165474	14165806
662	chr1	14168204	14168468
663	chr1	14258883	14259080
664	chr1	14259732	14260318
665	chr1	14553552	14553710
666	chr1	14572391	14572810
667	chr1	14627774	14628792
668	chr1	14755180	14755469
669	chr1	14894961	14895251
670	chr1	14911022	14911466
671	chr1	14930581	14931024
672	chr1	14944239	14946851
673	chr1	14968218	14969273
674	chr1	14971482	14971588
675	chr1	15007711	15007817
676	chr1	15008165	15008292
677	chr1	15027828	15027961
678	chr1	15042450	15043604
679	chr1	15046379	15046593
680	chr1	15152271	15152330
681	chr1	15155121	15155222
682	chr1	15171959	15172136
683	chr1	15179279	15179447
684	chr1	15179673	15181048
685	chr1	15192957	15193153
686	chr1	15195385	15197890
687	chr1	15198923	15199083
688	chr1	15200490	15200717
689	chr1	15201510	15202390
690	chr1	15203719	15208900
691	chr1	15212817	15214456
692	chr1	15328063	15329026
693	chr1	15370381	15370771
694	chr1	15370988	15372314
695	chr1	15383526	15386259
696	chr1	15386575	15387515
697	chr1	15409052	15409078
698	chr1	15413344	15413403
699	chr1	15512750	15514473
700	chr1	15514708	15514813
701	chr1	15522321	15523102
702	chr1	15525885	15526086
703	chr1	15527782	15527815
704	chr1	15572935	15574260
705	chr1	15579658	15580045
706	chr1	15602939	15604351
707	chr1	15616480	15616694
708	chr1	15683570	15683628
709	chr1	15686323	15686641
710	chr1	15687519	15687689
711	chr1	15691139	15692722
712	chr1	15693239	15694274
713	chr1	15694619	15699110
714	chr1	15699854	15701198
715	chr1	15701813	15706340
716	chr1	15706804	15707999
717	chr1	15708517	15708687
718	chr1	15709173	15709767
719	chr1	15710486	15710685
720	chr1	15711762	15712039
721	chr1	15712325	15712530
722	chr1	15713994	15715233
723	chr1	15732602	15733302
724	chr1	15734756	15738191
725	chr1	15749303	15749445
726	chr1	15799027	15800382
727	chr1	15803603	15803871
728	chr1	15808899	15811761
729	chr1	15813602	15813742
730	chr1	15831697	15831959
731	chr1	15832803	15837750
732	chr1	15842934	15845706
733	chr1	15846477	15846693
734	chr1	15850845	15852814
735	chr1	15853266	15853400
736	chr1	15862963	15863249
737	chr1	15870751	15870892
738	chr1	15874356	15874516
739	chr1	15884572	15888640
740	chr1	15890966	15891160
741	chr1	15892224	15892334
742	chr1	15892578	15893863
743	chr1	15899946	15903036
744	chr1	15903467	15903713
745	chr1	15926138	15926383
746	chr1	15926724	15926846
747	chr1	15927585	15930397
748	chr1	15937515	15937796
749	chr1	15938004	15938116
750	chr1	15938808	15939767
751	chr1	15950064	15950463
752	chr1	15953388	15953601
753	chr1	15954192	15954465
754	chr1	15962939	15963068
755	chr1	15965155	15966881
756	chr1	15973229	15973536
757	chr1	15976392	15976497
758	chr1	16012458	16013501
759	chr1	16017454	16020236
760	chr1	16048691	16048819
761	chr1	16062166	16062287
762	chr1	16062624	16063006
763	chr1	16063577	16065492
764	chr1	16068040	16069695
765	chr1	16069995	16070640
766	chr1	16072572	16072635
767	chr1	16074062	16074350
768	chr1	16075035	16075820
769	chr1	16079122	16079443
770	chr1	16091270	16091725
771	chr1	16146652	16146806
772	chr1	16152655	16152817
773	chr1	16156511	16156553
774	chr1	16167722	16167939
775	chr1	16173189	16173798
776	chr1	16174154	16177246
777	chr1	16188735	16188917
778	chr1	16189125	16190019
779	chr1	16190225	16192417
780	chr1	16205995	16206483
781	chr1	16206734	16207281
782	chr1	16210286	16210432
783	chr1	16217005	16217365
784	chr1	16217769	16218027
785	chr1	16236126	16236301
786	chr1	16237748	16238029
787	chr1	16244096	16244515
788	chr1	16246974	16250452
789	chr1	16250657	16251618
790	chr1	16260745	16260865
791	chr1	16264063	16265020
792	chr1	16353239	16353253
793	chr1	16366540	16366749
794	chr1	16368676	16368900
795	chr1	16371739	16376398
796	chr1	16377049	16378285
797	chr1	16386339	16387640
798	chr1	16391516	16391711
799	chr1	16392204	16392601
800	chr1	16392866	16394017
801	chr1	16398227	16399110
802	chr1	16440163	16440178
803	chr1	16458231	16460436
804	chr1	16498002	16500054
805	chr1	16617929	16618171
806	chr1	16618787	16619005
807	chr1	16624121	16624301
808	chr1	16645220	16645841
809	chr1	16707609	16707772
810	chr1	16709691	16713565
811	chr1	16748780	16748904
812	chr1	16765098	16765425
813	chr1	16895016	16897115
814	chr1	16903095	16906611
815	chr1	16913472	16915470
816	chr1	16925228	16928399
817	chr1	16960778	16961224
818	chr1	17045761	17046190
819	chr1	17052687	17052714
820	chr1	17060326	17060730
821	chr1	17063467	17064440
822	chr1	17067259	17069174
823	chr1	17071296	17071708
824	chr1	17081555	17081690
825	chr1	17088479	17092235
826	chr1	17092474	17092901
827	chr1	17094113	17096121
828	chr1	17096472	17096684
829	chr1	17097082	17100606
830	chr1	17101207	17101992
831	chr1	17102808	17103043
832	chr1	17106882	17107940
833	chr1	17108425	17117370
834	chr1	17121766	17122243
835	chr1	17423629	17424433
836	chr1	17435015	17435651
837	chr1	17436148	17436385
838	chr1	17440513	17440712
839	chr1	17502178	17502867
840	chr1	17526934	17527768
841	chr1	17531076	17534434
842	chr1	17534867	17536954
843	chr1	17537213	17539060
844	chr1	17541647	17544460
845	chr1	17544727	17555230
846	chr1	17555686	17556038
847	chr1	17556353	17557159
848	chr1	17557386	17557973
849	chr1	17558583	17577021
850	chr1	17577311	17582921
851	chr1	17586074	17586602
852	chr1	17587603	17588870
853	chr1	17591827	17592704
854	chr1	17600087	17600410
855	chr1	17604384	17611571
856	chr1	17615937	17616434
857	chr1	17616964	17619812
858	chr1	17624287	17624990
859	chr1	17629747	17630963
860	chr1	17653031	17653699
861	chr1	17668846	17674661
862	chr1	17682395	17683065
863	chr1	17683409	17683589
864	chr1	17688556	17688945
865	chr1	18230653	18231495
866	chr1	18325959	18326185
867	chr1	18880243	18880351
868	chr1	18885584	18887017
869	chr1	18888405	18893259
870	chr1	18893971	18896156
871	chr1	18898650	18901217
872	chr1	18903501	18903910
873	chr1	18906966	18908629
874	chr1	18912695	18913874
875	chr1	18914093	18914597
876	chr1	18914957	18915132
877	chr1	18920951	18924598
878	chr1	18927899	18928652
879	chr1	18930620	18930761
880	chr1	18931602	18934015
881	chr1	18934641	18935650
882	chr1	18935977	18936179
883	chr1	18936400	18953759
884	chr1	18957578	18957582
885	chr1	19010628	19012205
886	chr1	19066214	19068584
887	chr1	19073286	19073838
888	chr1	19074214	19074416
889	chr1	19074915	19075926
890	chr1	19078967	19081389
891	chr1	19082397	19084096
892	chr1	19088387	19088508
893	chr1	19098629	19099230
894	chr1	19123508	19124687
895	chr1	19128863	19129245
896	chr1	19129447	19129726
897	chr1	19138891	19141619
898	chr1	19143855	19144369
899	chr1	19156076	19158749
900	chr1	19163178	19163762
901	chr1	19178870	19179533
902	chr1	19179863	19180144
903	chr1	19199603	19199734
904	chr1	19200161	19202937
905	chr1	19203547	19203683
906	chr1	19206005	19206240
907	chr1	19208587	19208705
908	chr1	19211524	19211542
909	chr1	19219043	19220461
910	chr1	19231373	19231751
911	chr1	19232070	19232940
912	chr1	19240777	19241390
913	chr1	19252973	19257990
914	chr1	19287726	19287914
915	chr1	19303498	19304265
916	chr1	19310556	19310636
917	chr1	19313406	19313618
918	chr1	19344778	19345890
919	chr1	19363834	19364287
920	chr1	19366836	19367088
921	chr1	19373891	19374909
922	chr1	19391169	19391370
923	chr1	19391628	19392114
924	chr1	19395569	19395815
925	chr1	19404998	19406594
926	chr1	19408311	19408636
927	chr1	19413189	19413423
928	chr1	19413690	19415085
929	chr1	19419393	19419815
930	chr1	19420047	19420169
931	chr1	19420822	19421500
932	chr1	19424362	19426091
933	chr1	19426313	19427170
934	chr1	19427503	19427829
935	chr1	19429330	19429511
936	chr1	19434631	19443939
937	chr1	19444198	19444693
938	chr1	19445611	19446742
939	chr1	19448109	19448288
940	chr1	19452084	19453153
941	chr1	19454256	19455329
942	chr1	19456912	19457982
943	chr1	19458947	19459122
944	chr1	19462689	19463806
945	chr1	19465011	19469333
946	chr1	19494655	19495274
947	chr1	19529608	19530262
948	chr1	19563421	19564161
949	chr1	19595960	19596126
950	chr1	19606147	19607525
951	chr1	19625006	19625576
952	chr1	19628121	19630052
953	chr1	19650345	19651202
954	chr1	19659642	19659886
955	chr1	19728121	19729409
956	chr1	19735133	19736475
957	chr1	19881847	19882197
958	chr1	20063828	20063937
959	chr1	20068692	20070114
960	chr1	20071481	20073240
961	chr1	20101346	20101477
962	chr1	20151990	20154692
963	chr1	20168025	20168615
964	chr1	20178121	20179595
965	chr1	20180220	20180401
966	chr1	20185661	20185762
967	chr1	20187134	20188042
968	chr1	20208783	20210320
969	chr1	20212355	20212900
970	chr1	20213139	20213569
971	chr1	20219128	20221459
972	chr1	20222616	20225413
973	chr1	20228632	20228823
974	chr1	20233759	20234959
975	chr1	20250714	20251245
976	chr1	20264546	20266022
977	chr1	20325075	20326637
978	chr1	20361611	20361927
979	chr1	20366658	20367306
980	chr1	20404056	20404275
981	chr1	20404840	20404951
982	chr1	20409945	20410495
983	chr1	20410813	20411291
984	chr1	20477418	20478492
985	chr1	20479888	20479993
986	chr1	20494202	20494463
987	chr1	20511007	20512231
988	chr1	20522238	20522471
989	chr1	20551391	20551655
990	chr1	20554923	20556432
991	chr1	20616450	20616772
992	chr1	20653802	20654245
993	chr1	20654493	20655022
994	chr1	20696484	20697378
995	chr1	20993078	20993296
996	chr1	21022033	21023347
997	chr1	21034872	21035215
998	chr1	21117126	21118090
999	chr1	21118328	21118590
